[2026-07-01 07:57:11] ALLOWED | svchost.exe | 172.20.10.2:49377 -> 20.190.146.35:443
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64887 -> 20.190.146.35:443
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64890 -> 92.223.76.254:80
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64889 -> 92.223.76.254:80
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64886 -> 92.223.76.254:80
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64888 -> 20.190.146.35:443
[2026-07-01 07:57:14] ALLOWED | AcPowerNotification.exe | 127.0.0.1:64891 -> 127.0.0.1:1042
[2026-07-01 07:57:14] ALLOWED | svchost.exe | 172.20.10.2:64885 -> 92.223.76.254:80
[2026-07-01 07:57:17] ALLOWED | Code.exe | 172.20.10.2:65275 -> 150.171.74.16:443
[2026-07-01 07:57:20] ALLOWED | System Idle Process | 172.20.10.2:56263 -> 172.20.10.1:53
[2026-07-01 07:57:20] ALLOWED | chrome.exe | 172.20.10.2:53010 -> 104.18.39.21:443
[2026-07-01 07:57:20] ALLOWED | System Idle Process | 172.20.10.2:57172 -> 172.20.10.1:53
[2026-07-01 07:57:20] ALLOWED | svchost.exe | 172.20.10.2:55681 -> 92.223.76.254:80
[2026-07-01 07:57:26] ALLOWED | System Idle Process | 172.20.10.2:59502 -> 172.67.213.245:443
[2026-07-01 07:57:26] ALLOWED | AcPowerNotification.exe | 127.0.0.1:53011 -> 127.0.0.1:1042
[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:61680 -> 40.99.8.226:443
[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:60055 -> 92.223.76.254:80
[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:59529 -> 23.212.164.233:443
